Control.1	Control.2	Control.3	Colistin.1	Colistin.2	Colistin.3
EAV54_03140	1154	1052	1403	1703	1780	1689
EAV54_03145	270	244	336	300	297	271
EAV54_03150	163	136	188	180	200	189
EAV54_03155	757	651	870	627	761	796
EAV54_03160	633	578	639	526	672	627
EAV54_03165	837	806	815	857	1075	987
EAV54_03170	295	279	291	314	371	305
EAV54_03175	261	234	268	294	362	319
EAV54_03180	362	382	582	1337	1240	1218
EAV54_03185	369	315	419	341	418	346
EAV54_03190	5336	4928	5903	2562	3384	3276
EAV54_03195	2564	2192	2646	1452	1785	1696
EAV54_03200	873	763	880	626	744	735
EAV54_03205	1650	1638	1861	1643	1858	1811
EAV54_03210	110	105	137	119	117	126
EAV54_03215	137	155	167	139	181	154
EAV54_03220	14012	11489	16089	7818	9145	8476
EAV54_03225	13099	10976	13852	16316	18288	18206
EAV54_03230	3476	3077	3576	2650	2814	3171
EAV54_03235	946	852	1177	889	900	955
EAV54_03240	381	406	536	219	197	260
EAV54_03245	584	461	622	379	443	410
EAV54_03250	125	83	106	114	153	123
EAV54_03255	307	240	309	353	380	367
EAV54_03260	93	63	91	107	84	105
EAV54_03265	568	477	611	645	715	805
EAV54_03270	298	252	333	453	535	545
EAV54_03275	4531	4254	5740	2483	2829	2824
EAV54_03280	385	330	371	395	512	375
EAV54_03285	6693	5837	6285	761	884	1309
EAV54_03290	4569	4120	4836	931	1138	1259
EAV54_03295	5173	4216	4660	2791	3678	2949
EAV54_03300	589	422	458	318	388	327
EAV54_03305	142	98	109	86	103	66
EAV54_03310	3268	2775	3716	2039	1941	1957
EAV54_03315	552	549	650	877	933	1018
EAV54_03320	1475	1188	2028	740	697	821
EAV54_03325	90730	81639	95126	54232	60739	60496
EAV54_03330	2525	2215	2614	1440	1626	1752
EAV54_03335	225	141	211	279	277	294
EAV54_03340	818	728	779	826	987	1006
EAV54_03345	875	781	828	742	922	869
EAV54_03350	572	470	638	534	612	612
EAV54_03355	7687	6308	7250	6282	7696	8323
EAV54_03360	1337	1322	1527	1186	1314	1324
EAV54_03365	444	394	553	377	392	433
EAV54_03370	408	348	466	370	413	414
EAV54_03375	1672	1554	1877	1210	1258	1389
EAV54_03380	520	493	615	446	494	486
EAV54_03385	861	781	890	692	820	771
EAV54_03390	1887	1757	1589	1643	2159	1799
EAV54_03395	296	235	248	810	896	877
EAV54_03400	906	715	987	4403	4881	4602
EAV54_03405	468	496	602	530	511	600
EAV54_03410	1711	1579	2038	1221	1387	1326
EAV54_03415	3622	3158	4286	4824	5248	4320
EAV54_03420	213	151	246	219	217	232
EAV54_03425	28	15	27	32	18	20
EAV54_03430	1296	1159	1697	2368	1911	2162
EAV54_03435	3180	2967	3429	2893	3563	3470
EAV54_03440	2166	2098	2472	1824	2196	2170
EAV54_03445	770	787	1042	689	729	780
EAV54_03450	46	52	45	46	30	37
EAV54_03455	64	44	73	44	35	58
EAV54_03460	147	104	124	97	68	95
EAV54_03465	29	20	30	24	29	25
EAV54_03470	298	280	328	235	273	263
EAV54_03475	420	293	446	351	440	407
EAV54_03480	103	107	164	91	119	122
EAV54_03485	695	563	775	698	788	709
EAV54_03490	12849	10979	17747	6204	6161	6390
EAV54_03495	315	278	326	324	306	280
EAV54_03500	302	196	254	235	264	252
EAV54_03505	1600	1192	1867	1662	1675	1640
EAV54_03510	19	9	13	9	11	12
EAV54_03515	237	168	82	204	157	200
EAV54_03520	50	17	14	18	28	43
EAV54_03525	16	15	14	14	23	14
EAV54_03530	23	2	10	23	19	28
EAV54_03535	92	91	62	118	137	112
EAV54_03540	439	505	593	656	653	544
EAV54_03545	315	324	369	241	259	304
EAV54_03550	1631	1146	1432	907	1001	1188
EAV54_03555	1895	1731	2163	1945	1982	1930
EAV54_03560	482	409	416	297	395	412
EAV54_03565	694	638	788	717	784	777
EAV54_03570	1095	865	1234	517	466	574
EAV54_03575	23	24	21	20	21	19
EAV54_03580	231	181	208	173	241	229
EAV54_03585	1916	1719	1962	2164	2383	2162
EAV54_03590	2179	1801	2443	2057	2099	2117
EAV54_03595	295	292	369	673	675	619
EAV54_03600	0	0	0	0	0	0
EAV54_03605	130	101	185	68	61	59
EAV54_03610	114	69	98	40	57	47
EAV54_03615	891	683	720	991	1154	1226
EAV54_03620	1027	1125	1236	562	682	643
EAV54_03625	1460	1353	1484	1481	1895	1762
EAV54_03630	1807	1762	1927	1708	2164	2093
EAV54_03635	628	532	570	540	540	645
EAV54_03640	3913	3346	3576	2878	3630	3686
EAV54_03645	569	449	456	455	603	605
EAV54_03650	219	165	176	178	234	233
EAV54_03655	176	163	163	151	181	195
EAV54_03660	779	635	926	779	795	914
EAV54_03665	14259	12938	18723	6309	5527	6569
EAV54_03670	5725	4683	5138	4587	5731	5300
EAV54_03675	1132	1046	1152	824	990	1033
EAV54_03680	1856	1792	2209	1923	1928	2017
EAV54_03685	4124	3616	5217	1793	2084	2454
EAV54_03690	436	343	419	588	654	690
EAV54_03695	248	200	264	192	208	234
EAV54_03700	296	225	337	351	413	431
EAV54_03705	915	934	1328	683	729	726
EAV54_03710	1807	1652	2002	2008	2191	2343
EAV54_03715	481	402	423	1131	1303	1190
EAV54_03720	1020	1000	1294	2010	2190	2017
EAV54_03725	636	512	717	876	944	997
EAV54_03730	95	69	95	114	169	135
EAV54_03735	725	644	773	834	952	969
EAV54_03740	1387	1242	1526	1476	1771	1945
EAV54_03745	919	785	993	740	725	766
EAV54_03750	218	169	259	182	164	172
EAV54_03755	730	648	889	355	484	471
EAV54_03760	439	430	524	1014	1136	1011
EAV54_03765	760	703	846	1042	1102	1124
EAV54_03770	344	331	456	330	374	371
EAV54_03775	285	265	338	251	265	255
EAV54_03780	2595	2013	3047	1595	1611	1736
EAV54_03785	731	636	864	1404	1170	1441
EAV54_03790	439	415	426	518	595	549
EAV54_03795	728	516	761	776	948	871
EAV54_03800	241	189	236	351	291	310
EAV54_03805	253	211	237	214	277	267
EAV54_03810	40	32	39	46	40	32
EAV54_03815	184	226	258	193	183	205
EAV54_03820	99	78	88	58	44	50
EAV54_03825	167	137	178	128	96	98
EAV54_03830	28	50	42	30	27	19
EAV54_03835	5134	4707	5595	4824	5983	5585
EAV54_03840	370	333	394	369	370	416
EAV54_03845	2210	1981	2320	1765	2022	2004
EAV54_03850	787	525	588	777	746	693
EAV54_03855	226	202	175	197	271	234
EAV54_03860	299	227	248	162	164	204
EAV54_03865	2415	2157	2225	3118	3401	3438
EAV54_03870	3552	2976	3138	7794	9152	8740
EAV54_03875	2034	1764	2014	5108	5942	5577
EAV54_03880	608	604	736	2444	2845	2598
EAV54_03885	1709	1577	1781	1479	1769	1799
EAV54_03890	1092	1190	1525	1132	1339	1309
EAV54_03895	167	115	217	142	142	178
EAV54_03900	28339	25900	30719	30352	37232	38078
EAV54_03905	334	314	318	390	401	426
EAV54_03910	2527	2147	2924	43882	40258	42657
EAV54_03915	441	384	501	447	421	402
EAV54_03920	1438	1153	1288	1120	1240	1391
EAV54_03925	1420	1059	1201	889	940	1194
EAV54_03930	700	560	654	585	568	641
EAV54_03935	173	171	195	126	165	138
EAV54_03940	414	463	535	369	295	348
EAV54_03945	1306	1136	1356	1783	1640	1881
EAV54_03950	3609	3112	4352	6612	7913	7479
EAV54_03955	2341	1904	2761	3773	3924	4384
EAV54_03960	863	750	1009	1103	1119	1062
EAV54_03965	629	453	564	747	703	717
EAV54_03970	11174	8573	10530	11403	12391	12691
EAV54_03975	279	250	337	282	254	273
EAV54_03980	1536	1316	1441	1365	1336	1565
EAV54_03985	672	541	745	529	348	497
EAV54_03990	1757	1446	1761	1410	1763	1566
EAV54_03995	793	741	976	682	610	638
EAV54_04000	6893	7039	7843	8020	9827	9660
EAV54_04005	660	530	482	334	412	423
EAV54_04010	1543	1429	1549	1275	1640	1690
EAV54_04015	10669	8812	8622	8074	10941	10092
EAV54_04020	912	900	881	858	965	951
EAV54_04025	344	229	243	244	225	323
EAV54_04030	8020	5363	5989	6077	7640	7649
EAV54_04035	20119	16033	18175	18371	22872	21824
EAV54_04040	3192	2531	3068	3154	3974	3836
EAV54_04045	6017	4763	5968	6467	7367	7297
EAV54_04050	6920	5737	7165	8205	9159	10089
EAV54_04055	4855	4444	5385	5554	6814	7223
EAV54_04060	1428	1335	1613	1332	1572	1420
EAV54_04065	2486	2123	2536	1441	1551	1538
EAV54_04070	1307	1046	1365	715	897	886
EAV54_04075	437	365	460	291	339	402
EAV54_04080	7230	6936	8521	3129	3735	3842
EAV54_04085	35106	30743	34486	14983	19681	20840
EAV54_04090	299	303	465	301	300	325
EAV54_04095	384	267	361	251	267	268
EAV54_04100	384	370	564	301	275	296
EAV54_04105	407	340	365	262	279	255
EAV54_04110	1995	1889	2722	1151	1199	1241
EAV54_04115	433	357	381	399	496	503
EAV54_04120	0	0	0	0	0	0
EAV54_04125	0	0	0	0	0	0
EAV54_04130	1215	1151	1318	1558	1531	1583
EAV54_04135	4698	4057	4448	5218	6612	6157
EAV54_04140	9385	8331	8991	9189	11649	10919
EAV54_04145	1200	1143	1546	815	714	801
EAV54_04150	502	412	434	411	527	548
EAV54_04155	1153	880	1182	1046	1066	1116
EAV54_04160	12633	9859	11141	8904	9428	10574
EAV54_04165	17390	13552	15602	15050	17601	17936
EAV54_04170	305	305	350	289	406	319
EAV54_04175	230	126	219	143	190	201
EAV54_04180	187	176	196	158	179	178
EAV54_04185	7	5	4	2	12	13
EAV54_04190	235	166	173	183	205	200
EAV54_04195	1	0	0	0	0	4
EAV54_04200	0	4	2	3	4	0
EAV54_04205	1458	1208	1526	1350	1597	1611
EAV54_04210	426	416	509	397	478	497
EAV54_04215	1034	1111	1286	656	767	727
EAV54_04220	1296	1303	1696	1196	1459	1368
EAV54_04225	348	290	355	311	346	388
EAV54_04230	1661	1466	1830	769	900	837
EAV54_04235	4662	4050	4590	3664	4563	4373
EAV54_04240	943	846	1058	675	660	686
EAV54_04245	733	617	836	617	519	564
EAV54_04250	16014	15216	18792	19611	20691	22087
EAV54_04255	27114	23771	28284	30115	34547	34820
EAV54_04260	71	74	65	111	110	111
EAV54_04265	1626	1904	2444	834	953	976
EAV54_04270	265	299	348	73	57	58
EAV54_04275	1837	1467	1672	4715	5183	5023
EAV54_04280	147	82	87	136	153	143
EAV54_04285	5575	4292	4961	6401	7787	7653
EAV54_04290	437	349	521	381	521	430
EAV54_04295	99	89	86	76	89	89
EAV54_04300	1414	1302	1554	1194	1278	1231
EAV54_04305	3120	2681	3557	2949	3115	3398
EAV54_04310	851	654	803	2907	3199	3437
EAV54_04315	160	137	203	102	146	141
EAV54_04320	0	0	0	0	0	0
EAV54_04325	1124	1186	1618	1340	1587	1263
EAV54_04330	4419	3906	5088	4638	5241	5027
EAV54_04335	0	0	0	0	0	0
EAV54_04340	0	0	0	0	0	0
EAV54_04345	0	0	0	0	0	0
EAV54_04350	0	0	0	0	0	0
EAV54_04355	0	0	0	0	0	0
EAV54_04360	0	0	0	0	0	0
EAV54_04365	0	0	0	0	0	0
EAV54_04370	0	0	0	0	0	0
EAV54_04375	0	0	0	0	0	0
EAV54_04380	56	52	27	36	28	30
EAV54_04385	13	18	18	17	27	7
EAV54_04390	68	75	96	70	98	77
EAV54_04395	30	51	70	42	35	50
EAV54_04400	3145	3175	3117	3061	3436	3278
EAV54_04405	78	56	66	100	121	101
EAV54_04410	133	118	175	124	140	142
EAV54_04415	151	110	112	116	151	190
EAV54_04420	5918	4664	5759	4758	5859	5829
EAV54_04425	365	314	375	309	379	385
EAV54_04430	190	147	187	143	157	137
EAV54_04435	686	618	717	575	699	605
EAV54_04440	387	308	370	350	379	355
EAV54_04445	7211	5501	5967	7320	8187	8901
EAV54_04450	575	519	526	618	720	688
EAV54_04455	737	733	794	746	864	840
EAV54_04460	224	204	219	189	151	202
EAV54_04465	887	906	977	943	1255	1134
EAV54_04470	608	626	649	632	806	720
EAV54_04475	178	121	159	149	167	118
EAV54_04480	1281	1111	1567	1017	1015	1012
EAV54_04485	2876	2424	3091	3714	4228	4362
EAV54_04490	1839	1637	1875	2103	2466	2343
EAV54_04495	7338	6532	7515	6890	8481	7915
EAV54_04500	149	153	220	250	211	185
EAV54_04505	21	13	22	18	19	14
EAV54_04510	97	88	107	222	241	198
EAV54_04515	139	113	139	290	339	298
EAV54_04520	214	165	222	249	191	245
EAV54_04525	391	363	431	523	394	486
EAV54_04530	812	705	944	865	982	879
EAV54_04535	1556	1325	1804	2114	1984	2076
EAV54_04540	948	837	949	805	872	868
EAV54_04545	5368	4823	6630	7232	6624	6985
EAV54_04550	450	390	505	288	313	427
EAV54_04555	366	343	387	373	346	382
EAV54_04560	1424	1258	1502	8143	9061	8897
EAV54_04565	400	283	445	2434	2641	2589
EAV54_04570	436	398	392	371	443	384
EAV54_04575	1643	1544	2185	1223	1442	1489
EAV54_04580	2040	1892	2346	1660	2009	1849
EAV54_04585	913	745	851	841	917	847
EAV54_04590	513	440	429	650	756	744
EAV54_04595	1102	982	1019	1256	1499	1528
EAV54_04600	3664	3267	3763	2416	2908	2984
EAV54_04605	570	521	593	486	587	522
EAV54_04610	3251	3034	4599	3515	3453	3679
EAV54_04615	478	493	583	614	611	636
EAV54_04620	1063	908	1101	1435	1495	1311
EAV54_04625	729	627	708	977	901	814
EAV54_04630	6412	5409	6151	6115	7011	6737
EAV54_04635	970	797	1010	1032	1116	1100
EAV54_04640	3211	2690	3595	3316	3418	3694
EAV54_04645	236	316	389	382	325	347
EAV54_04650	4643	4148	4720	5766	6415	6014
EAV54_04655	6281	5795	6960	6910	8043	7259
EAV54_04660	2875	2528	3078	3581	3843	3667
EAV54_04665	607	486	668	638	703	681
EAV54_04670	3465	2713	3617	3528	3381	3677
EAV54_04675	1016	883	1165	689	808	858
EAV54_04680	183	157	162	144	137	148
EAV54_04685	608	476	543	581	657	615
EAV54_04690	427	361	425	327	387	424
EAV54_04695	1195	1044	1333	899	923	1059
EAV54_04700	12053	10228	11381	9792	12257	11808
EAV54_04705	661	586	727	453	474	465
EAV54_04710	0	0	0	0	0	0
EAV54_04715	0	0	0	0	0	0
EAV54_04720	0	0	0	0	0	0
EAV54_04725	0	0	0	0	0	0
EAV54_04730	0	0	0	0	0	0
EAV54_04735	0	0	0	0	0	0
EAV54_04740	0	0	0	0	0	0
EAV54_04745	0	0	0	1	0	0
EAV54_04750	0	0	0	0	0	0
EAV54_04755	0	0	0	0	0	0
EAV54_04760	0	0	0	0	0	0
EAV54_04765	0	0	0	0	0	0
EAV54_04770	0	0	0	0	0	0
EAV54_04775	0	0	0	0	0	0
EAV54_04780	0	0	0	0	0	0
EAV54_04785	0	0	0	0	0	0
EAV54_04790	0	0	0	0	0	0
EAV54_04795	0	0	0	0	0	0
EAV54_04800	0	0	0	0	0	0
EAV54_04805	0	1	0	0	0	0
EAV54_04810	0	0	0	0	0	0
EAV54_04815	0	0	0	0	0	0
EAV54_04820	0	0	0	0	0	0
EAV54_04825	0	0	0	0	0	0
EAV54_04830	0	0	0	0	0	0
EAV54_04835	0	0	0	0	0	0
EAV54_04840	0	0	0	0	0	0
EAV54_04845	0	0	0	0	0	0
EAV54_04850	0	0	0	0	0	0
EAV54_04855	0	0	0	0	0	0
EAV54_04860	58	63	57	39	65	47
EAV54_04865	0	0	0	0	0	0
EAV54_04870	0	0	0	0	0	0
EAV54_04875	0	0	0	0	0	0
EAV54_04880	0	0	0	0	0	0
EAV54_04885	33	37	28	26	23	15
EAV54_04890	336	315	366	196	210	213
EAV54_04895	2527	2331	3099	6633	6657	7028
EAV54_04900	883	787	1060	922	955	848
EAV54_04905	510	500	638	447	401	393
EAV54_04910	3076	2860	3934	2443	2945	2705
EAV54_04915	150	136	179	222	263	243
EAV54_04920	8430	6759	8186	11505	11186	11378
EAV54_04925	1853	1598	2059	1713	2058	2094
EAV54_04930	3390	3013	3844	2886	3478	3684
EAV54_04935	1875	1632	1804	1760	1911	1966
EAV54_04940	32833	25875	29929	29598	37935	32085
EAV54_04945	5590	3675	6490	2905	2829	2766
EAV54_04950	2873	1562	2408	1156	1314	1228
EAV54_04955	1012	531	741	366	412	370
EAV54_04960	2203	1329	1797	859	910	901
EAV54_04965	2786	1741	2394	1007	1032	1065
EAV54_04970	3377	2054	3023	1011	1175	1121
EAV54_04975	329	314	369	287	299	289
EAV54_04980	1265	1223	1692	1233	1400	1275
EAV54_04985	253	167	218	235	177	190
EAV54_04990	268	205	247	250	299	286
EAV54_04995	938	918	1103	1108	1268	1084
EAV54_05000	1536	1582	1764	2385	2795	2557
EAV54_05005	248	182	244	251	225	241
EAV54_05010	0	0	0	0	0	0
EAV54_05015	2108	1766	1983	1795	2013	2210
EAV54_05020	1215	1036	1264	1289	1373	1431
EAV54_05025	168	162	162	126	150	168
EAV54_05030	240	198	177	212	245	237
EAV54_05035	4838	3864	4645	3771	4052	4524
EAV54_05040	397	347	480	330	365	393
EAV54_05045	248	197	261	222	260	320
EAV54_05050	649	637	781	680	769	796
EAV54_05055	237	187	273	230	246	274
EAV54_05060	718	746	986	594	620	655
EAV54_05065	4	1	0	1	4	1
EAV54_05070	18	18	7	15	18	22
EAV54_05075	249	188	214	408	374	402
EAV54_05080	304	217	257	436	469	490
EAV54_05085	112	82	151	83	83	65
EAV54_05090	0	0	0	0	0	0
EAV54_05095	0	0	0	1	0	0
EAV54_05100	3052	2676	3167	2975	3582	3415
EAV54_05105	241	182	211	175	154	174
EAV54_05110	863	817	1137	625	642	620
EAV54_05115	1701	1532	1879	1308	1319	1450
EAV54_05120	11447	9227	12189	13017	14418	14231
EAV54_05125	2629	2201	2739	2416	2653	2443
EAV54_05130	172	171	157	176	189	177
EAV54_05135	5306	4875	5699	4948	5618	5552
EAV54_05140	546	443	557	625	553	573
EAV54_05145	193	119	209	403	258	375
EAV54_05150	2645	2151	2498	2467	2583	2840
EAV54_05155	510	515	518	458	577	653
EAV54_05160	1060	874	1063	818	857	917
EAV54_05165	863	857	1090	939	988	955
EAV54_05170	332	245	387	315	364	342
EAV54_05175	1227	1030	1169	808	893	935
EAV54_05180	250	191	264	129	147	148
EAV54_05185	2381	1922	2546	3071	3289	2918
EAV54_05190	2583	2032	2617	2970	3515	3191
EAV54_05195	809	677	864	737	859	693
EAV54_05200	3520	2926	4256	1482	1676	1561
EAV54_05205	1571	1396	1964	580	665	608
EAV54_05210	1021	846	1114	434	470	458
EAV54_05215	2297	1927	2832	718	660	720
EAV54_05220	329	287	401	286	244	279
EAV54_05225	6894	5031	6222	7206	6603	7800
EAV54_05230	2528	1933	2508	2783	3148	3249
EAV54_05235	2758	2622	3299	2604	2741	2823
EAV54_05240	5207	4808	6229	3033	3314	3537
EAV54_05245	20514	17867	21478	18645	22734	23173
EAV54_05250	2075	1832	2358	1675	1742	1921
EAV54_05255	2344	2114	2769	2519	2706	2934
EAV54_05260	98	92	140	61	46	51
EAV54_05265	179	184	239	80	81	80
EAV54_05270	10	1	20	0	2	1
EAV54_05275	127	96	140	75	118	84
EAV54_05280	1559	1380	1817	1196	1450	1289
EAV54_05285	1132	923	1119	961	1167	1153
EAV54_05290	247	221	309	258	275	230
EAV54_05295	2988	2572	3535	2412	2680	2667
EAV54_05300	1023	983	1095	880	1103	1009
EAV54_05305	287	205	342	172	217	241
EAV54_05310	2988	2764	3592	2326	2688	2447
EAV54_05315	347	254	356	199	181	285
EAV54_05320	341	261	347	289	288	329
EAV54_05325	2116	1924	2426	1739	2055	2070
EAV54_05330	398	265	307	370	375	447
EAV54_05335	590	393	472	736	848	824
EAV54_05340	5089	4419	5029	5074	6217	6058
EAV54_05345	330	320	372	208	224	223
EAV54_05350	1178	946	1090	626	600	723
EAV54_05355	2265	2118	2266	1287	1463	1572
EAV54_05360	3818	3611	3580	2390	2890	2815
EAV54_05365	0	0	0	0	0	0
EAV54_05370	0	0	0	0	0	0
EAV54_05375	2663	2067	2659	25288	24260	23953
EAV54_05380	13086	10655	12243	11978	15774	14587
EAV54_05385	4906	4055	4318	4770	5938	5622
EAV54_05390	12358	10433	13827	8766	10168	9116
EAV54_05395	393	321	449	393	350	390
EAV54_05400	8633	7160	9675	10014	11223	9628
EAV54_05405	667	556	608	860	909	864
EAV54_05410	263	216	286	1065	985	893
EAV54_05415	252	226	237	694	737	687
EAV54_05420	432	372	460	1133	1292	1142
EAV54_05425	590	499	591	528	577	564
EAV54_05430	4558	3566	4704	3912	4434	4486
EAV54_05435	541	500	574	391	366	391
EAV54_05440	240	166	271	247	185	212
EAV54_05445	4433	4399	5409	5561	6210	6224
EAV54_05450	1244	1168	1250	1075	1102	1135
EAV54_05455	1382	1283	1380	1219	1521	1439
EAV54_05460	1706	1332	1654	1321	1484	1633
EAV54_05465	564	390	418	281	302	296
EAV54_05470	2877	2803	3520	2570	2816	2652
EAV54_05475	1908	1399	2126	6489	5642	5887
EAV54_05480	67	38	47	81	71	72
EAV54_05485	181	204	202	261	314	266
EAV54_05490	2766	2645	3417	4025	4600	4525
EAV54_05495	3564	3258	4463	1714	1960	1883
EAV54_05500	5610	4772	6858	5359	5638	5872
EAV54_05505	1214	1045	1246	1233	1281	1303
EAV54_05510	1319	1428	1511	1347	1473	1335
EAV54_05515	453	401	466	431	476	565
EAV54_05520	1906	1289	1478	1389	1363	1696
EAV54_05525	1769	1827	1989	1119	1360	1443
EAV54_05530	1359	1270	1728	922	950	1060
EAV54_05535	711	681	788	592	637	736
EAV54_05540	9204	9107	11435	8011	8374	9325
EAV54_05545	1678	1331	1563	1152	1396	1323
EAV54_05550	132	147	144	120	96	121
EAV54_05555	0	0	0	0	0	0
EAV54_05560	0	0	0	0	0	0
EAV54_05565	0	0	0	0	0	0
EAV54_05570	0	0	0	0	0	0
EAV54_05575	0	0	0	0	0	0
EAV54_05580	0	0	0	0	0	0
EAV54_05585	0	0	0	0	0	0
EAV54_05590	0	0	0	0	0	0
EAV54_05595	0	0	0	0	0	0
EAV54_05600	0	0	0	0	0	0
EAV54_05605	0	0	0	0	0	0
EAV54_05610	0	0	0	0	0	0
EAV54_05615	0	0	0	0	0	0
EAV54_05620	0	0	0	0	0	0
EAV54_05625	0	0	0	0	0	0
EAV54_05630	0	0	0	0	0	0
EAV54_05635	0	0	0	0	0	0
EAV54_05640	0	0	0	0	0	1
EAV54_05645	0	0	0	1	0	0
EAV54_05650	184	148	144	108	101	147
EAV54_05655	30	15	35	28	18	27
EAV54_05660	1196	1083	947	541	600	530
EAV54_05665	65	60	38	38	48	64
EAV54_05670	79	98	109	74	62	83
EAV54_05675	97	96	145	37	35	39
EAV54_05680	206	174	240	194	136	185
EAV54_05685	150	137	193	117	88	126
EAV54_05690	6	3	4	2	4	1
EAV54_05695	22	33	37	11	21	22
EAV54_05700	14	6	14	12	14	11
EAV54_05705	66	79	60	63	57	65
EAV54_05710	8	2	6	7	13	11
EAV54_05715	62	61	73	61	78	67
EAV54_05720	304	277	410	244	247	293
EAV54_05725	96	77	110	74	68	87
EAV54_05730	30	48	38	32	29	35
EAV54_05735	114	78	132	73	69	75
EAV54_05740	8	17	4	3	10	9
EAV54_05745	147	123	139	100	138	103
EAV54_05750	102	99	111	85	101	105
EAV54_05755	91	114	120	76	85	87
EAV54_05760	23	25	33	48	38	32
EAV54_05765	176	163	259	116	144	106
EAV54_05770	8266	8006	10411	8113	9536	8500
EAV54_05775	544	518	590	458	517	547
EAV54_05780	78	32	69	67	59	81
EAV54_05785	1449	1163	1407	795	738	924
EAV54_05790	1511	1324	1529	1385	1538	1487
EAV54_05795	78831	77994	101381	56980	63453	63192
EAV54_05800	977	766	834	801	929	974
EAV54_05805	542	467	609	504	639	608
EAV54_05810	432	366	425	528	662	655
EAV54_05815	164	110	150	219	228	196
EAV54_05820	1507	1123	1453	2159	2292	2399
EAV54_05825	972	793	963	772	790	876
EAV54_05830	1559	1280	1590	1106	1302	1494
EAV54_05835	816	556	792	343	360	362
EAV54_05840	2021	1329	1874	871	1053	953
EAV54_05845	400	338	372	360	375	402
EAV54_05850	1407	1224	1400	1538	1895	1854
EAV54_05855	314	298	354	690	608	615
EAV54_05860	13027	12322	14829	13029	15375	15193
EAV54_05865	351	343	399	297	327	350
EAV54_05870	759	733	885	691	752	787
EAV54_05875	981	854	1236	1124	1172	1256
EAV54_05880	107	50	73	81	78	82
EAV54_05885	132	136	144	162	114	140
EAV54_05890	0	0	0	0	0	0
EAV54_05895	0	0	0	0	3	3
EAV54_05900	5	0	0	0	3	5
EAV54_05905	32594	29645	35645	26692	30674	27857
EAV54_05910	752	753	1036	431	479	549
EAV54_05915	1207	1244	1305	692	793	829
EAV54_05920	5211	4880	5579	3814	4418	4264
EAV54_05925	7997	7361	9197	5949	6881	7091
EAV54_05930	1743	1562	2130	3750	3498	3531
EAV54_05935	469	454	545	473	598	543
EAV54_05940	1262	1097	1234	1219	1483	1438
EAV54_05945	6669	5815	6575	6045	7556	7474
EAV54_05950	419	303	334	397	491	406
EAV54_05955	1576	1343	1441	1330	1572	1442
EAV54_05960	36801	30229	34373	19501	25235	21614
EAV54_05965	7845	6945	8455	6643	8018	7089
EAV54_05970	2336	2149	2640	2210	2399	2433
EAV54_05975	345	290	344	295	338	312
EAV54_05980	72	63	116	292	381	313
EAV54_05985	223	153	157	1776	1905	1751
EAV54_05990	1999	1656	1863	1589	1774	1670
EAV54_05995	8851	7621	9596	8864	10254	11444
EAV54_06000	2344	2020	2530	3061	3230	3677
EAV54_06005	235	215	235	263	243	214
EAV54_06010	460	480	505	456	568	519
EAV54_06015	198	145	215	161	196	177
EAV54_06020	124	98	77	85	77	80
EAV54_06025	515	493	499	386	412	371
EAV54_06030	2813	2246	2696	3201	3362	3666
EAV54_06035	1539	1369	1663	1567	1621	1571
EAV54_06040	927	818	968	830	910	941
EAV54_06045	451	457	528	479	538	532
EAV54_06050	180	139	190	212	206	245
EAV54_06055	178	102	160	182	135	169
EAV54_06060	507	420	565	474	595	527
EAV54_06065	2	5	15	4	6	5
EAV54_06070	62	18	39	58	65	55
EAV54_06075	207	164	206	156	175	212
EAV54_06080	347	324	378	285	266	294
EAV54_06085	0	0	0	0	0	0
EAV54_06090	5874	5394	6256	5204	6254	6198
EAV54_06095	137	125	108	104	123	121
EAV54_06100	174	133	160	108	128	140
EAV54_06105	92	104	79	66	55	90
EAV54_06110	369	315	376	299	301	293
EAV54_06115	132	176	212	162	176	163
EAV54_06120	52	51	45	40	45	56
EAV54_06125	46	37	38	50	69	66
EAV54_06130	180	175	154	162	209	193
EAV54_06135	227	147	201	256	286	306
EAV54_06140	274	297	356	226	258	260
EAV54_06145	9499	8901	11451	7287	8159	7925
EAV54_06150	372	339	421	273	353	319
EAV54_06155	78	59	55	82	63	66
EAV54_06160	1958	1539	1902	1180	1375	1247
EAV54_06165	302	223	336	218	264	245
EAV54_06170	910	799	974	540	592	575
EAV54_06175	312	231	262	229	247	215
EAV54_06180	62	33	44	49	61	47
EAV54_06185	182	179	215	158	152	154
EAV54_06190	281	292	335	248	268	225
EAV54_06195	171	158	159	64	66	49
EAV54_06200	1341	985	1044	1187	1347	1268
EAV54_06205	6086	5118	6288	6118	6512	6492
EAV54_06210	11818	10148	12180	9785	11850	11467
EAV54_06215	1321	990	1225	1254	1221	1323
EAV54_06220	760	648	878	815	708	808
EAV54_06225	388	360	540	477	569	470
EAV54_06230	70	46	37	23	32	37
EAV54_06235	1030	969	1089	733	809	808
EAV54_06240	504	394	632	590	579	606
EAV54_06245	126	132	184	74	81	94
EAV54_06250	2371	2196	2714	1719	2019	1962
EAV54_06255	2345	1923	2448	2038	2617	2623
EAV54_06260	1299	1162	1586	862	746	811
EAV54_06265	1487	1307	1409	1323	1655	1566
EAV54_06270	15	4	10	9	9	7
EAV54_06275	0	0	0	0	0	0
EAV54_06280	0	0	0	0	0	0
EAV54_06285	0	0	0	0	0	0
