Control.1	Control.2	Control.3	Colistin.1	Colistin.2	Colistin.3
EAV54_00725	421	395	531	557	476	577
EAV54_00730	745	606	748	592	731	692
EAV54_00735	762	598	779	640	707	737
EAV54_00740	0	0	0	0	0	0
EAV54_00745	118	87	90	90	130	84
EAV54_00750	81	71	64	76	97	96
EAV54_00755	1354	1154	1420	1381	1625	1579
EAV54_00760	3668	2747	3137	3152	3563	4082
EAV54_00765	2038	1785	2208	2192	2667	2574
EAV54_00770	1139	907	1092	1162	1440	1323
EAV54_00775	1526	1307	1466	1511	1701	1928
EAV54_00780	4738	3890	4817	4256	4987	5036
EAV54_00785	7109	6492	7389	6346	7658	7573
EAV54_00790	1092	950	1173	1061	1125	1151
EAV54_00795	1715	1324	1603	1376	1615	1510
EAV54_00800	3625	2517	2898	2379	2783	2763
EAV54_00805	21007	18064	20205	15178	19792	17368
EAV54_00810	12782	9999	10169	8683	11810	10802
EAV54_00815	133	89	102	71	85	107
EAV54_00820	316	303	200	272	386	288
EAV54_00825	666	679	809	192	246	208
EAV54_00830	88	64	133	88	101	79
EAV54_00835	58	52	54	52	60	74
EAV54_00840	5965	5618	6824	5190	5880	6367
EAV54_00845	5254	4993	6362	5254	5993	6277
EAV54_00850	704	636	727	637	759	760
EAV54_00855	548	400	439	582	678	680
EAV54_00860	16938	15546	17267	11556	12155	11820
EAV54_00865	1008	855	1114	924	860	965
EAV54_00870	329	270	391	318	317	361
EAV54_00875	557	486	620	576	662	573
EAV54_00880	466	432	485	570	693	703
EAV54_00885	184	170	160	183	176	183
EAV54_00890	1735	1421	1979	1634	1739	1483
EAV54_00895	1944	1528	2026	1144	1145	1192
EAV54_00900	4215	3401	4010	4212	4820	4481
EAV54_00905	99	80	141	84	79	68
EAV54_00910	112	104	153	61	120	114
EAV54_00915	9364	5384	8119	2275	2604	2035
EAV54_00920	5834	2784	4391	1337	1577	1308
EAV54_00925	975	665	976	894	1100	1111
EAV54_00930	28169	22478	28034	9771	10905	9727
EAV54_00935	1563	1247	1514	1028	1242	1208
EAV54_00940	503	431	539	190	189	179
EAV54_00945	1145	935	1157	604	759	727
EAV54_00950	283	277	333	147	207	183
EAV54_00955	1719	1625	1692	575	689	737
EAV54_00960	981	1055	1161	1577	1545	2160
EAV54_00965	204	170	243	161	171	149
EAV54_00970	8232	6194	6781	6324	7600	7330
EAV54_00975	520	423	492	314	351	370
EAV54_00980	472	353	409	378	381	411
EAV54_00985	50	47	26	29	30	57
EAV54_00990	113	101	154	95	126	92
EAV54_00995	437	368	550	287	369	340
EAV54_01000	266	193	279	304	313	372
EAV54_01005	4509	3748	4601	2951	3198	3210
EAV54_01010	3499	2903	3628	2024	2254	2740
EAV54_01015	24	12	16	19	18	19
EAV54_01020	45	45	33	44	43	44
EAV54_01025	109	81	95	78	101	95
EAV54_01030	347	269	268	260	291	226
EAV54_01035	237	188	221	263	337	232
EAV54_01040	468	327	316	271	338	326
EAV54_01045	4116	3786	3815	8851	11734	9997
EAV54_01050	564	487	552	403	451	464
EAV54_01055	3340	3075	3674	2155	2361	2276
EAV54_01060	452	426	443	278	365	396
EAV54_01065	1978	1907	2358	770	984	926
EAV54_01070	418	394	485	192	201	229
EAV54_01075	2756	2098	2718	1851	2068	1960
EAV54_01080	0	0	0	0	0	0
EAV54_01085	0	0	0	0	0	0
EAV54_01090	2	0	0	1	1	4
EAV54_01095	367	251	331	246	307	291
EAV54_01100	58	55	50	54	78	43
EAV54_01105	50	43	57	33	41	50
EAV54_01110	355	295	433	298	324	337
EAV54_01115	277	241	360	182	213	216
EAV54_01120	356	331	363	281	322	311
EAV54_01125	612	574	769	483	583	532
EAV54_01130	0	0	0	0	0	0
EAV54_01135	5	11	7	3	9	8
EAV54_01140	0	0	0	0	0	0
EAV54_01145	0	0	0	0	0	0
EAV54_01150	0	0	0	0	0	0
EAV54_01155	0	0	0	0	0	0
EAV54_01160	0	0	0	0	0	0
EAV54_01165	268	234	363	206	215	195
EAV54_01170	18	7	15	12	15	37
EAV54_01175	211	217	277	209	213	193
EAV54_01180	64	68	123	83	75	62
EAV54_01185	50	59	75	43	43	43
EAV54_01190	163	186	212	82	82	137
EAV54_01195	67	56	73	68	48	56
EAV54_01200	0	0	0	0	0	0
EAV54_01205	0	0	0	0	0	0
EAV54_01210	0	0	0	0	0	0
EAV54_01215	10	3	8	10	11	12
EAV54_01220	1519	1430	1569	1354	1581	1521
EAV54_01225	14656	12473	13075	23279	26063	25917
EAV54_01230	500	444	456	364	356	426
EAV54_01235	38	16	27	22	17	30
EAV54_01240	228	240	286	164	124	144
EAV54_01245	298	301	336	222	230	227
EAV54_01250	124	156	215	156	175	156
EAV54_01255	41	22	18	44	73	58
EAV54_01260	439	404	423	376	511	447
EAV54_01265	456	377	519	288	386	396
EAV54_01270	118	117	117	83	88	107
EAV54_01275	786	731	969	547	529	533
EAV54_01280	42	42	57	36	27	30
EAV54_01285	88	70	69	49	62	64
EAV54_01290	48	39	56	39	69	55
EAV54_01295	404	336	429	406	425	457
EAV54_01300	242	151	255	164	157	216
EAV54_01305	282	257	428	119	116	127
EAV54_01310	1095	948	1174	971	1144	1177
EAV54_01315	1668	1346	1547	1285	1439	1468
EAV54_01320	1141	1098	1123	1131	1201	1208
EAV54_01325	1	4	1	10	1	1
EAV54_01330	1	1	3	0	0	0
