KEGG_ko
"K00823,K07250"
K00135
K01673
K15727
K15726
K03744
K06872
K04565
K00228
K02067
K07323
K07122
K03379
K01414
K08309
K13778
K07642
"K07664,K18144"
K04750
K00626
K09946
K00380
K07001
"K18139,K18323"
K18138
K03585
"K01096,K19302"
K03634
K00658
K01902
K04077
K03799
K18691
K00123
K03522
K01993
K09808
K09810
K04773
K03088
K03640
K03641
K03646
K03562
K04771
K03098
K03885
"K06194,K12943"
"K01467,K19100,K19101,K19215,K20319,K20320"
K03305
K04564
"K04691,K04772"
"K00249,K06445"
K05365
K01270
K00057
K11935
"K11931,K21478"
K11936
K11937
"K03148,K21029"
K00791
K03768
K16053
K00616
K00059
K07235
K01784
K01679
K07277
K00117
K07078
K00219
K01856
K00433
K00248
K03543
K03446
K18145
"K03296,K18146"
K06137
K17218
K03723
K02553
K01638
K05788
K03648
K01737
K03771
K01624
"K17838,K18793,K18794,K18976,K19213,K19318,K22352"
K00432
K07305
K06975
K03781
K09712
K03386
K21802
K07460
K01637
K10804
K01753
K01785
K08299
"K01802,K03772"
K06996
"K01840,K15778"
K12216
K02494
K00340
K00339
K00338
K00337
K07639
K07661
K00549
K01488
K04764
K01816
"K01681,K20455"
"K02005,K13888"
K05685
K03797
K01690
K13292
K08311
K03782
"K02182,K13776"
K02909
K05516
K18997
"K01782,K01825"
K00632
K07002
K04079
K06966
"K00027,K00029"
K00799
K01659
K00767
K03325
K03863
K03673
K00568
K14682
"K01792,K08305"
K03981
K18302
"K18138,K18303"
K04042
K03701
